Component Name,File Path,Key Props,Classification,Description
ActionCard,frontend/src/components/main/ActionCard.tsx,"title, description, variant, status, priority, progress, onAction",MUI-based,Interactive card for displaying actionable tasks with status and progress tracking
AlertDialog,frontend/src/components/ui/alert-dialog.tsx,"open, onOpenChange, children",MUI-based,Modal dialog component for alerts and confirmations
Alert,frontend/src/components/ui/alert.tsx,"variant, severity, children",MUI-based,Alert component for displaying messages and notifications
AppLayout,frontend/src/components/layout/AppLayout.tsx,"children, currentView, onNavigate, user, isDarkMode",Custom,Main application layout with navigation and responsive design
ApplicationCard,frontend/src/components/career/ApplicationCard.tsx,"id, jobTitle, company, status, progress, onViewTimeline",MUI-based,Card component for displaying job application details
ApplicationTracker,frontend/src/components/career/ApplicationTracker.tsx,"applications, onStatusChange, onAddApplication",Custom,Component for tracking job applications with status management
ATSAnalysisDashboard,frontend/src/components/features/analysis/ATSAnalysisDashboard.tsx,"resumeText, jobDescription, score, suggestions",Custom,Dashboard for ATS analysis with score visualization and recommendations
ATSScoreCircle,frontend/src/components/features/analysis/ATSScoreCircle.tsx,"score, size, showLabel",Custom,Circular progress indicator for displaying ATS scores
ATSScoreCircle,frontend/src/components/library/ATSScoreCircle.tsx,"score, size, className, showLabel",Custom,Circular progress component for ATS scores with animated SVG visualization
Auth,frontend/src/components/features/auth/Auth.tsx,"onLogin",Custom,Authentication component with email/password and Google sign-in options
Avatar,frontend/src/components/ui/avatar.tsx,"src, alt, children",MUI-based,Avatar component with fallback support
AvatarFallback,frontend/src/components/ui/avatar.tsx,"children",MUI-based,Avatar fallback component for displaying initials or placeholder
AvatarImage,frontend/src/components/ui/avatar.tsx,"src, alt",MUI-based,Avatar image component with object-fit styling
Badge,frontend/src/components/ui/badge.tsx,"variant, children",MUI-based,Badge component for displaying status indicators and labels
Button,frontend/src/components/ui/Button/Button.tsx,"variant, color, size, loading, onClick, children",MUI-based,Enhanced button with loading states and extended color options
Button,frontend/src/components/ui/button.tsx,"variant, children",MUI-based,Custom styled button with variant support (ghost, outline, etc.)
