name,path,category,usageCount,migrationStatus,usesMUI,usesCustomUI,hasTests,hasStories
Placard,src/components/ui/Placard.tsx,ui,14,migrated,false,false,false,false
Strike,src/components/ui/Strike.tsx,ui,12,migrated,false,false,false,false
KeralaRageButton,src/components/ui/KeralaRageButton.tsx,ui,8,migrated,false,false,false,true
Logo,src/components/ui/Logo.tsx,ui,3,migrated,false,false,false,false
AssetLibrary,src/features/analysis/AssetLibrary.tsx,features,1,migrated,false,true,false,false
DesignSidekick,src/features/design-sidekick/DesignSidekick.tsx,features,1,migrated,false,true,false,false
NotFound,src/features/not-found/NotFound.tsx,features,1,migrated,false,false,false,false
M3ExpressiveComponents,src/features/style-guide/M3ExpressiveComponents.tsx,features,1,migrated,false,true,false,false
StyleGuide,src/features/style-guide/StyleGuide.tsx,features,1,mixed,false,true,false,false
Layout,src/layouts/Layout.tsx,layout,1,unknown,false,false,false,true
MigratedRouteLayout,src/layouts/MigratedRouteLayout.tsx,layout,1,migrated,false,true,false,false
Footer,src/layouts/shared/Footer.tsx,layout,1,unknown,false,false,false,false
Sidebar,src/layouts/shared/Sidebar.tsx,layout,1,migrated,false,true,false,false
SolidaritySidebar,src/layouts/shared/SolidaritySidebar.tsx,layout,1,migrated,false,true,false,false
