name,path,category,usageCount,migrationStatus,usesMUI,usesCustomUI,hasTests,hasStories
App,src/App.tsx,other,1,migrated,false,false,false,false
TokenTest,src/components/debug/TokenTest.tsx,components,1,migrated,false,false,false,false
SolidarityProgress,src/components/kerala-rage/SolidarityProgress.tsx,components,1,migrated,false,false,false,false
SolidarityUprising,src/components/kerala-rage/SolidarityUprising.tsx,components,1,migrated,false,false,false,false
AssetLibrary,src/features/analysis/AssetLibrary.tsx,features,1,migrated,false,true,false,false
DesignSidekick,src/features/design-sidekick/DesignSidekick.tsx,features,1,migrated,false,true,false,false
NotFound,src/features/not-found/NotFound.tsx,features,1,migrated,false,false,false,false
M3ExpressiveComponents,src/features/style-guide/M3ExpressiveComponents.tsx,features,1,migrated,false,true,false,false
StyleGuide,src/features/style-guide/StyleGuide.tsx,features,1,mixed,false,true,false,false
Layout,src/layouts/Layout.tsx,layout,1,unknown,false,false,false,true
MigratedRouteLayout,src/layouts/MigratedRouteLayout.tsx,layout,1,migrated,false,true,false,false
Footer,src/layouts/shared/Footer.tsx,layout,1,unknown,false,false,false,false
Sidebar,src/layouts/shared/Sidebar.tsx,layout,1,migrated,false,true,false,false
SolidaritySidebar,src/layouts/shared/SolidaritySidebar.tsx,layout,1,migrated,false,true,false,false
AnalysisPage,src/pages/AnalysisPage.tsx,pages,1,migrated,false,false,false,false
AnimationTest,src/pages/AnimationTest.tsx,pages,1,migrated,false,false,false,false
ApplicationsPage,src/pages/ApplicationsPage.tsx,pages,1,migrated,false,false,false,false
ApplyPage,src/pages/ApplyPage.tsx,pages,1,migrated,false,false,false,false
DashboardPage,src/pages/DashboardPage.tsx,pages,1,migrated,false,false,false,false
DocsPage,src/pages/DocsPage.tsx,pages,1,migrated,false,false,false,false
GenerationPage,src/pages/GenerationPage.tsx,pages,1,migrated,false,false,false,false
LandingPage,src/pages/LandingPage.tsx,pages,1,migrated,false,false,false,false
LookoutPage,src/pages/LookoutPage.tsx,pages,1,migrated,false,false,false,false
OnboardingPage,src/pages/OnboardingPage.tsx,pages,1,migrated,false,false,false,false
ProfilePage,src/pages/ProfilePage.tsx,pages,1,migrated,false,false,false,false
SettingsPage,src/pages/SettingsPage.tsx,pages,1,migrated,false,false,false,false
HeroLanding,src/screens/01_landing/HeroLanding.tsx,other,1,migrated,false,false,false,false
AuthModal,src/screens/02_auth/AuthModal.tsx,other,1,migrated,false,false,false,false
IngestionFlow,src/screens/04_ingestion/IngestionFlow.tsx,other,1,migrated,false,false,false,false
AnalysisWorkbench,src/screens/05_analysis/AnalysisWorkbench.tsx,other,1,migrated,false,false,false,false
KanbanTracker,src/screens/07_kanban/KanbanTracker.tsx,other,1,migrated,false,false,false,false
DashboardOverview,src/screens/11_dashboard/DashboardOverview.tsx,other,1,migrated,false,false,false,false
GenerationWorkbench,src/screens/12_generation/GenerationWorkbench.tsx,other,1,migrated,false,false,false,false
main,src/main.tsx,other,0,migrated,false,false,false,false
